NAME,INVESTOR TYPE,PREFERED STARTUP STAGES,FOCUS INDUSTRIES,FOCUS SECTOR,SERVICE AREAS,INVESTMENT RANGE,LOCATION
STRIDE VENTURES,Venture Capital,"Validation, EarlyTraction, Scaling","AI, Green Technology, Finance Technology, Enterprise Software, Food & Beverages, Healthcare & Lifesciences, Media & Entertainment, Retail, Textiles & Apparel","Machine Learning, NLP, Others, Clean Tech, Others, Waste Management, Accounting, Advisory, Billing and Invoicing, Bitcoin and Blockchain, Business Finance, Crowdfunding, Foreign Exchange, Insurance, Microfinance, Mobile wallets Payments, Others, P2P Lending, Payment Platforms, Personal Finance, Point of Sales, Trading, CXM, Cloud, Collaboration, Customer Support, ERP, Enterprise Mobility, Location Based, Others, SCM, Food Processing, Food Technology/Food Delivery, Microbrewery, Others, Restaurants, Assistance Technology, Biotechnology, Health & Wellness, Healthcare IT, Healthcare Services, Healthcare Technology, Medical Devices Biomedical, Others, Pharmaceutical, Digital Media, Digital Media Blogging, Digital Media News, Digital Media Publishing, Digital Media Video, Entertainment, Movies, OOH Media, Others, Social Media, Comparison Shopping, Others, Retail Technology, Social Commerce, Apparel & Accessories, Leather Footwear, Leather Textiles Goods, Non- Leather Footwear, Non- Leather Textiles Goods, ","Manufacturing, Marketplace, Online Aggregator, Peer to Peer, SaaS",5 Crore + INR,"New Delhi, Delhi"
VENTURE GARAGE,Private Company,"EarlyTraction, Scaling","AR VR (Augmented + Virtual Reality), Automotive, Agriculture, Aeronautics Aerospace & Defence, Green Technology, Finance Technology, Enterprise Software, Food & Beverages, Renewable Energy, Healthcare & Lifesciences","Auto & Truck Manufacturers, Auto, Truck & Motorcycle Parts, Electric Vehicles, Others, Tires & Rubber Products, Agri-Tech, Animal Husbandry, Dairy Farming, Fisheries, Food Processing, Horticulture, Organic Agriculture, Others, Aviation & Others, Defence Equipment, Drones, Others, Space Technology, Clean Tech, Others, Waste Management, Accounting, Advisory, Billing and Invoicing, Bitcoin and Blockchain, Business Finance, Crowdfunding, Foreign Exchange, Insurance, Microfinance, Mobile wallets Payments, Others, P2P Lending, Payment Platforms, Personal Finance, Point of Sales, Trading, CXM, Cloud, Collaboration, Customer Support, ERP, Enterprise Mobility, Location Based, Others, SCM, Food Processing, Food Technology/Food Delivery, Microbrewery, Others, Restaurants, Manufacture of Electrical Equipment, Manufacture of Machinery and Equipment, Others, Renewable Energy Solutions, Renewable Nuclear Energy, Renewable Solar Energy, Renewable Wind Energy, Assistance Technology, Biotechnology, Health & Wellness, Healthcare IT, Healthcare Services, Healthcare Technology, Medical Devices Biomedical, Others, Pharmaceutical","Discovery, Hyperlocal, Location Based Services, Manufacturing, Marketplace",5 Crore + INR,"Gurugram, Haryana"
FUNDALOGICAL VENTURES,Private Equity,"EarlyTraction, Scaling","Transportation & Storage, Logistics, Robotics, Waste Management","Freight & Logistics Services, Others, Passenger Transportation Services, Traffic Management, Transport Infrastructure, Others, Others, Robotics Application, Robotics Technology","Enterprise Mobility, Hyperlocal, Location Based Services, Manufacturing, Platform",5 Crore + INR,"Mumbai, Maharashtra"
TITAN CAPITAL,Venture Capital,"Ideation, Validation, EarlyTraction, Scaling","AR VR (Augmented + Virtual Reality), Computer Vision, AI, Fashion, Finance Technology, Enterprise Software, Internet of Things, Professional & Commercial Services, Robotics, Others, Toys and Games","Machine Learning, NLP, Others, Apparel, Fan Merchandise, Fashion Technology, Jewellery, Lifestyle, Others, Accounting, Advisory, Billing and Invoicing, Bitcoin and Blockchain, Business Finance, Crowdfunding, Foreign Exchange, Insurance, Microfinance, Mobile wallets Payments, Others, P2P Lending, Payment Platforms, Personal Finance, Point of Sales, Trading, CXM, Cloud, Collaboration, Customer Support, ERP, Enterprise Mobility, Location Based, Others, SCM, Manufacturing & Warehouse, Others, Smart Home, Wearables, Business Support Services, Business Support Supplies, Commercial Printing Services, Employment Services, Environmental Services & Equipment, Others, Professional Information Services, Others, Robotics Application, Robotics Technology, Others, Physical Toys and Games, Virtual Games","E-commerce, Engineering, Platform, SaaS, Others",2 Crore - 5 Crore INR,"Bengaluru, Karnataka"
SESHADRINATHAN KRISHNAN,OTHER,"Validation, EarlyTraction, Scaling","Animation, Agriculture, Green Technology, Finance Technology, Enterprise Software, Technology Hardware, Healthcare & Lifesciences, Internet of Things, Professional & Commercial Services, Social Impact, Indic Language Startups, Real Estate, Biotechnology, Waste Management","Agri-Tech, Animal Husbandry, Dairy Farming, Fisheries, Food Processing, Horticulture, Organic Agriculture, Others, Clean Tech, Others, Waste Management, Accounting, Advisory, Billing and Invoicing, Bitcoin and Blockchain, Business Finance, Crowdfunding, Foreign Exchange, Insurance, Microfinance, Mobile wallets Payments, Others, P2P Lending, Payment Platforms, Personal Finance, Point of Sales, Trading, CXM, Cloud, Collaboration, Customer Support, ERP, Enterprise Mobility, Location Based, Others, SCM, 3d printing, Electronics, Embedded, Manufacturing, Others, Semiconductor, Assistance Technology, Biotechnology, Health & Wellness, Healthcare IT, Healthcare Services, Healthcare Technology, Medical Devices Biomedical, Others, Pharmaceutical, Manufacturing & Warehouse, Others, Smart Home, Wearables, Business Support Services, Business Support Supplies, Commercial Printing Services, Employment Services, Environmental Services & Equipment, Others, Professional Information Services, Corporate Social Responsibility, NGO, Others, E-Commerce, Education, Media and Entertainment, Natural Language Processing, Social Media, Utility Services, Coworking Spaces, Housing","Manufacturing, Mobile, Offline, SaaS, Social Enterprise",0 - 25 Lacs INR,"Ernakulam, Kerala"
GSF INDIA,Venture Capital,"Validation, EarlyTraction, Scaling","AR VR (Augmented + Virtual Reality), Computer Vision, Telecommunication & Networking, Aeronautics Aerospace & Defence, AI, Green Technology, Finance Technology, Enterprise Software, Education, Renewable Energy, Healthcare & Lifesciences, Nanotechnology, Security Solutions, Robotics, Biotechnology","Integrated communication services, Network Technology Solutions, Others, Wireless, Aviation & Others, Defence Equipment, Drones, Others, Space Technology, Machine Learning, NLP, Others, Clean Tech, Others, Waste Management, Accounting, Advisory, Billing and Invoicing, Bitcoin and Blockchain, Business Finance, Crowdfunding, Foreign Exchange, Insurance, Microfinance, Mobile wallets Payments, Others, P2P Lending, Payment Platforms, Personal Finance, Point of Sales, Trading, CXM, Cloud, Collaboration, Customer Support, ERP, Enterprise Mobility, Location Based, Others, SCM, Coaching, E-learning, Education Technology, Others, Skill Development, Manufacture of Electrical Equipment, Manufacture of Machinery and Equipment, Others, Renewable Energy Solutions, Renewable Nuclear Energy, Renewable Solar Energy, Renewable Wind Energy, Assistance Technology, Biotechnology, Health & Wellness, Healthcare IT, Healthcare Services, Healthcare Technology, Medical Devices Biomedical, Others, Pharmaceutical, Others, Cyber Security, Home Security solutions, Others, Public Citizen Security Solutions, Others, Robotics Application, Robotics Technology","Engineering, Hyperlocal, Marketplace, Mobile, SaaS",5 Crore + INR,"Bengaluru, Karnataka"
DHOLAKIA VENTURES,OTHER,"Ideation, Validation, EarlyTraction, Scaling","Architecture Interior Design, AR VR (Augmented + Virtual Reality), Automotive, Agriculture, AI, Green Technology, Finance Technology, Enterprise Software, Food & Beverages, Renewable Energy, Internet of Things, Retail, Security Solutions, Waste Management","Auto & Truck Manufacturers, Auto, Truck & Motorcycle Parts, Electric Vehicles, Others, Tires & Rubber Products, Agri-Tech, Animal Husbandry, Dairy Farming, Fisheries, Food Processing, Horticulture, Organic Agriculture, Others, Machine Learning, NLP, Others, Clean Tech, Others, Waste Management, Accounting, Advisory, Billing and Invoicing, Bitcoin and Blockchain, Business Finance, Crowdfunding, Foreign Exchange, Insurance, Microfinance, Mobile wallets Payments, Others, P2P Lending, Payment Platforms, Personal Finance, Point of Sales, Trading, CXM, Cloud, Collaboration, Customer Support, ERP, Enterprise Mobility, Location Based, Others, SCM, Food Processing, Food Technology/Food Delivery, Microbrewery, Others, Restaurants, Manufacture of Electrical Equipment, Manufacture of Machinery and Equipment, Others, Renewable Energy Solutions, Renewable Nuclear Energy, Renewable Solar Energy, Renewable Wind Energy, Manufacturing & Warehouse, Others, Smart Home, Wearables, Comparison Shopping, Others, Retail Technology, Social Commerce, Cyber Security, Home Security solutions, Others, Public Citizen Security Solutions, ","Consumer Internet, Enterprise Mobility, Hyperlocal, Manufacturing, SaaS",50 Lacs - 2 Crore INR,"Surat, Gujarat"
AMIYA SRIVASTAVA,OTHER,"Validation, EarlyTraction, Scaling","Analytics, Advertising, Computer Vision, Telecommunication & Networking, Aeronautics Aerospace & Defence, AI, Finance Technology, Enterprise Software, Food & Beverages, Renewable Energy, Technology Hardware, Healthcare & Lifesciences, Internet of Things, Marketing, Nanotechnology, Media & Entertainment, Sports, Transportation & Storage, Logistics, Security Solutions, Robotics, Biotechnology, Waste Management, Toys and Games","Big Data, Business Intelligence, Data Science, Others, AdTech, Online Classified, Others, Others, Integrated communication services, Network Technology Solutions, Others, Wireless, Aviation & Others, Defence Equipment, Drones, Others, Space Technology, Machine Learning, NLP, Others, Accounting, Advisory, Billing and Invoicing, Bitcoin and Blockchain, Business Finance, Crowdfunding, Foreign Exchange, Insurance, Microfinance, Mobile wallets Payments, Others, P2P Lending, Payment Platforms, Personal Finance, Point of Sales, Trading, CXM, Cloud, Collaboration, Customer Support, ERP, Enterprise Mobility, Location Based, Others, SCM, Food Processing, Food Technology/Food Delivery, Microbrewery, Others, Restaurants, Manufacture of Electrical Equipment, Manufacture of Machinery and Equipment, Others, Renewable Energy Solutions, Renewable Nuclear Energy, Renewable Solar Energy, Renewable Wind Energy, 3d printing, Electronics, Embedded, Manufacturing, Others, Semiconductor, Assistance Technology, Biotechnology, Health & Wellness, Healthcare IT, Healthcare Services, Healthcare Technology, Medical Devices Biomedical, Others, Pharmaceutical, Manufacturing & Warehouse, Others, Smart Home, Wearables, Branding, Digital Marketing (SEO Automation), Discovery, Loyalty, Market Research, Others, Sales, Others, Digital Media, Digital Media Blogging, Digital Media News, Digital Media Publishing, Digital Media Video, Entertainment, Movies, OOH Media, Others, Social Media, Fantasy Sports, Others, Sports Promotion and Networking, Freight & Logistics Services, Others, Passenger Transportation Services, Traffic Management, Transport Infrastructure, Others, Cyber Security, Home Security solutions, Others, Public Citizen Security Solutions, Others, Robotics Application, Robotics Technology, Others, Others, Physical Toys and Games, Virtual Games","Discovery, Manufacturing, Mobile, Platform, Research",0 - 50 Lacs INR,"Bengaluru, Karnataka"
TRUEDIGITAL VENTURES,Private Company,"Validation, EarlyTraction, Scaling","Automotive, Aeronautics Aerospace & Defence, AI, Green Technology, Finance Technology, Education, Renewable Energy, Healthcare & Lifesciences, Internet of Things, Nanotechnology, Non- Renewable Energy, Pets & Animals, Media & Entertainment, Retail, Sports, Social Network, Indic Language Startups, Transportation & Storage, Logistics, Travel & Tourism, Security Solutions, Airport Operations, Robotics, Biotechnology, Waste Management","Auto & Truck Manufacturers, Auto, Truck & Motorcycle Parts, Electric Vehicles, Others, Tires & Rubber Products, Aviation & Others, Defence Equipment, Drones, Others, Space Technology, Machine Learning, NLP, Others, Clean Tech, Others, Waste Management, Accounting, Advisory, Billing and Invoicing, Bitcoin and Blockchain, Business Finance, Crowdfunding, Foreign Exchange, Insurance, Microfinance, Mobile wallets Payments, Others, P2P Lending, Payment Platforms, Personal Finance, Point of Sales, Trading, Coaching, E-learning, Education Technology, Others, Skill Development, Manufacture of Electrical Equipment, Manufacture of Machinery and Equipment, Others, Renewable Energy Solutions, Renewable Nuclear Energy, Renewable Solar Energy, Renewable Wind Energy, Assistance Technology, Biotechnology, Health & Wellness, Healthcare IT, Healthcare Services, Healthcare Technology, Medical Devices Biomedical, Others, Pharmaceutical, Manufacturing & Warehouse, Others, Smart Home, Wearables, Others, Oil & Gas Drilling, Oil & Gas Exploration and Production, Oil & Gas Transportation Services, Oil Related Services and Equipment, Others, Others, Digital Media, Digital Media Blogging, Digital Media News, Digital Media Publishing, Digital Media Video, Entertainment, Movies, OOH Media, Others, Social Media, Comparison Shopping, Others, Retail Technology, Social Commerce, Fantasy Sports, Others, Sports Promotion and Networking, Others, E-Commerce, Education, Media and Entertainment, Natural Language Processing, Social Media, Utility Services, Freight & Logistics Services, Others, Passenger Transportation Services, Traffic Management, Transport Infrastructure, Others, Experiential Travel, Facility Management, Holiday Rentals, Hospitality, Hotel, Others, Ticketing, Wayside Amenities, Cyber Security, Home Security solutions, Others, Public Citizen Security Solutions, Others, Others, Robotics Application, Robotics Technology,","Discovery, Hyperlocal, Location Based Services, Manufacturing, Marketplace",50 Lacs - 2 Crore INR,"Bengaluru Urban, Karnataka"
7th GEN VENTURES,Angel Group,"Validation, EarlyTraction, Scaling",Green Technology,"Clean Tech, Others, Waste Management","Discovery, Manufacturing, Research",50 Lacs - 2 Crore INR,"Bengaluru, Karnataka"
